student_id,enrolled_college,enrollment_date,first_year_gpa
100461,Yes,2023-06-22,2.05
100462,No,2022-10-24,
100463,Yes,2024-07-15,2.01
100464,Yes,2023-10-05,3.16
100465,Yes,2023-03-07,2.8
100466,False,2023-09-15,
100467,Yes,2022-12-14,3.03
100468,No,2022-12-11,
100469,No,2023-11-20,
100470,Yes,2023-11-04,2.18
100471,Yes,2023-10-13,2.39
100472,No,2022-07-03,
100473,No,2024-07-23,
100474,No,2022-06-12,
100475,No,2023-08-19,
100476,N,2022-08-22,
100477,No,2022-01-18,
100478,Yes,2021-11-22,3.24
100479,Yes,2022-09-02,3.86
100480,Yes,2022-12-26,1.92
100481,No,2022-07-29,
100482,No,2022-10-22,
100483,Yes,2022-10-21,2.3
100484,N,2023-04-11,
100485,Yes,2023-11-25,1.39
100486,0,2023-10-29,
100487,No,2023-02-04,
100488,No,2024-03-04,
100489,No,2024-04-14,
100490,No,2021-11-13,
100491,No,2022-12-28,
100492,0,2024-04-04,
100493,No,2022-07-07,-1.0
100494,Yes,2023-12-10,1.78
100495,YES,2021-11-05,2.73
100496,No,2023-10-03,
100497,No,2022-07-14,
100498,No,2022-05-01,
100499,No,2024-06-28,
100500,No,2021-10-13,
100501,No,2023-05-08,
100502,No,2021-11-17,
100503,no,2022-03-31,
100504,No,2024-02-11,
100505,True,2023-02-15,2.68
100506,No,2023-02-11,
100507,No,2022-04-11,
100508,True,2023-04-24,2.38
100509,Yes,2023-08-08,1.63
100510,Yes,2023-06-16,2.55
100511,Yes,2021-11-13,2.41
100512,No,2023-01-13,
100513,No,2022-05-30,
100514,No,2023-07-19,
100515,No,2022-05-06,
100516,No,2023-07-20,
100517,No,2024-06-27,
100518,No,2021-09-01,
100519,No,2021-10-29,
100520,No,2024-02-13,
100521,No,2021-08-27,
100522,No,2023-07-04,
100523,No,2021-11-14,
100524,Yes,2024-05-09,3.69
100525,0,2023-03-24,
100526,No,2024-05-27,
100527,No,2021-12-12,
100528,No,2022-07-18,
100529,Yes,2021-12-01,3.1
100530,No,2022-05-06,
100531,No,2023-11-14,
100532,No,2023-09-01,
100533,No,2022-03-19,
100534,No,2024-06-22,
100535,No,2024-08-07,
100536,No,2024-03-05,
100537,1,2022-10-13,2.13
100538,Yes,2022-10-14,1.92
100539,Yes,2022-09-30,2.96
100540,Yes,2024-04-08,2.84
100541,No,2023-11-20,
100542,No,2022-11-28,7.5
100543,No,2023-04-12,
100544,Yes,2021-11-30,2.89
100545,Yes,2022-08-18,2.61
100546,Yes,2022-04-22,3.55
100547,Yes,2022-09-07,4.0
100548,Yes,2024-05-06,3.16
100549,Yes,2023-04-03,2.81
100550,Yes,2022-10-29,2.42
100551,Yes,2023-11-27,3.33
100552,Yes,2021-10-03,2.41
100553,Yes,2023-06-02,1.82
100554,No,2022-07-03,
100555,No,2022-03-31,
100556,No,2023-05-28,
100557,No,2023-03-28,
100558,Yes,2022-10-12,2.49
100559,No,,
100560,No,2022-08-28,
100561,No,2024-05-05,
100562,Yes,2023-11-22,1.68
100563,No,2024-03-11,
100564,Yes,2022-10-14,2.81
100565,No,2023-11-29,
100566,Yes,2022-01-14,2.47
100567,No,2022-10-03,
100568,Yes,2024-05-11,2.18
100569,No,2024-02-25,
100570,Yes,2022-06-26,1.65
100571,Yes,2021-09-30,2.14
100572,Yes,2024-04-11,3.09
100573,No,2024-03-18,
100574,Yes,2023-12-26,2.53
100575,YES,,1.93
100576,1,,2.6
100577,No,2023-01-13,
100578,No,2023-08-20,
100579,No,2024-03-17,
100580,No,2024-04-13,
100581,Yes,2022-05-17,2.38
100582,Yes,2021-08-19,2.38
100583,YES,2022-11-13,2.13
100584,No,2022-09-20,
100585,Yes,2022-11-12,3.57
100586,Yes,2023-04-04,2.55
100587,Y,2023-03-12,2.62
100588,Yes,2023-07-25,2.2
100589,Yes,2022-09-15,2.6
100590,No,2023-03-20,
100591,NO,2023-09-12,
100592,Yes,2022-09-01,3.04
100593,No,2023-02-11,
100594,Yes,2021-11-26,3.14
100595,No,2022-05-07,
100596,No,2022-11-24,
100597,Yes,2023-09-28,3.34
100598,No,2021-09-21,
100599,No,2023-01-25,
100600,No,2022-07-06,
100601,Yes,2023-04-28,2.05
100602,Yes,2022-01-14,2.31
100603,No,2022-02-16,
100604,No,2022-09-26,
100605,No,2024-02-10,
100606,No,2023-09-13,
100607,No,2024-04-03,
100608,No,2023-07-20,
100609,Yes,2024-06-21,2.07
100610,No,2022-10-14,
100611,No,2023-04-28,
100612,No,2023-02-08,
100613,no,2022-12-10,
100614,No,2024-03-09,
100615,No,2024-01-24,
100616,Yes,2021-09-05,3.35
100617,Yes,2023-05-11,3.09
100618,No,2023-12-18,
100619,Yes,2024-01-06,2.27
100620,No,2024-02-13,
100621,Yes,2023-11-28,3.75
100622,No,2024-07-07,
100623,Yes,2022-10-25,2.3
100624,Yes,2022-05-29,1.96
100625,Yes,2022-02-18,2.77
100626,No,2022-09-06,
100627,No,2022-06-25,
100628,No,2023-12-31,
100629,0,2024-07-13,
100630,True,,2.54
100631,Yes,2022-11-07,2.15
100632,Yes,2022-04-25,2.94
100633,No,2022-12-23,
100634,No,2024-07-31,
100635,Yes,2022-01-23,2.5
100636,Yes,2023-08-24,2.94
100637,Yes,2021-11-27,2.72
100638,Yes,2022-01-06,1.91
100639,no,2023-04-12,
100640,Yes,2024-03-28,-1.0
100641,No,2021-10-16,
100642,0,2021-09-07,
100643,No,2024-06-08,
100644,No,2023-10-17,-1.0
100645,Yes,2024-03-27,3.16
100646,No,2023-03-16,
100647,No,2022-10-23,
100648,No,2024-01-22,
100649,0,2023-05-23,
100650,Yes,2024-07-12,2.42
100651,No,2024-02-15,
100652,No,2023-05-10,
100653,No,2023-03-11,
100654,Yes,2021-10-07,1.24
100655,Yes,2022-01-07,3.28
100656,Yes,2021-08-21,2.15
100657,Yes,2022-03-08,2.9
100658,N,2024-04-16,
100659,No,2022-08-19,
100660,No,2024-04-18,
100661,Yes,2023-09-21,2.47
100662,No,2022-09-10,
100663,Yes,2022-07-13,2.14
100664,Yes,2022-09-26,2.95
100665,No,2023-12-27,
100666,No,2022-05-08,
100667,No,2022-02-11,
100668,Yes,2024-08-13,2.07
100669,No,2022-06-27,
100670,No,2023-01-13,
100671,Yes,2021-11-15,2.91
100672,Yes,2023-06-08,2.78
100673,No,2022-10-29,
100674,No,2022-08-30,
100675,False,2024-02-15,-1.0
100676,True,2022-12-29,2.67
100677,Yes,2022-10-24,2.25
100678,Yes,2023-11-12,1.79
100679,Yes,2024-08-16,1.59
100680,No,2023-06-13,
100681,Yes,2023-02-16,2.67
100682,Yes,2024-02-27,2.68
100683,No,2024-03-27,
100684,no,2022-07-12,
100685,Yes,2022-04-22,1.93
100686,Yes,2022-07-10,3.67
100687,No,2021-12-11,
100688,No,2022-06-27,
100689,No,2022-04-28,
100690,No,2024-04-22,
100691,No,2023-08-21,
100692,Yes,2023-11-16,-1.0
100693,No,2022-09-20,
100694,No,2023-01-16,
100695,No,2023-02-25,
100696,No,2021-10-27,
100697,No,2024-01-25,
100698,Yes,2021-11-22,2.57
100699,Yes,2023-08-13,2.71
100700,No,2022-10-05,
100701,yes,2022-07-09,1.82
100702,No,2023-03-19,
100703,NO,2024-08-12,
100704,No,2021-10-20,
100705,No,2022-10-12,
100706,No,2021-10-02,
100707,No,2024-07-10,
100708,No,2023-01-07,
100709,Yes,2022-07-11,2.56
100710,No,2022-02-25,
100711,Yes,2024-02-29,2.65
100712,Yes,2023-10-19,2.36
100713,No,2023-07-16,
100714,No,2023-01-20,
100715,No,2024-02-13,
100716,Yes,2023-03-29,1.63
100717,No,2024-01-07,
100718,yes,2023-04-10,2.41
100719,Yes,2024-01-15,1.75
100720,Yes,2023-07-02,2.29
100721,No,2024-03-20,
100722,Yes,2024-01-14,2.34
100723,No,2024-06-08,
100724,Yes,2023-07-27,3.14
100725,No,2024-05-01,
100726,No,2022-07-03,
100727,No,2021-08-26,
100728,Yes,2022-07-24,2.37
100729,Yes,2022-07-01,3.34
100730,No,2024-04-14,
100731,No,2023-04-12,
100732,No,2022-04-23,
100733,Y,2024-06-01,2.01
100734,No,2024-01-01,
100735,No,2021-08-04,
100736,No,2022-07-30,
100737,No,2022-11-08,
100738,No,2024-04-30,
100739,No,2024-08-10,
100740,No,2023-10-19,
100741,No,2022-12-27,
100742,True,2022-12-03,2.84
100743,Yes,2023-01-05,2.76
100744,Yes,2022-05-02,2.73
100745,Yes,2022-11-24,2.98
100746,Yes,2024-04-26,2.87
100747,No,2022-06-16,
100748,Yes,2023-04-14,2.08
100749,Yes,2023-10-29,2.0
100750,No,2024-07-14,
100751,No,2022-07-10,
100752,Yes,2023-03-06,3.59
100753,N,2021-12-26,
100754,No,2023-08-05,
100755,No,2021-09-10,
100756,No,2024-05-08,
100757,Yes,2023-09-23,2.21
100758,Yes,2024-06-23,2.46
100759,Yes,2024-01-15,2.25
100760,No,2022-01-10,
100761,0,2022-09-30,
100762,Yes,2023-11-16,2.95
100763,Yes,2023-06-19,1.88
100764,No,2023-09-07,
100765,Yes,2022-12-16,1.59
100766,Yes,2023-06-01,2.3
100767,False,2022-02-24,
100768,No,2022-11-18,
100769,Yes,2024-03-06,2.3
100770,Yes,2021-09-20,2.28
100771,No,2023-04-22,
100772,Yes,2024-06-06,3.6
100773,Yes,2022-04-23,3.58
100774,False,2024-02-17,
100775,Yes,2023-02-18,1.94
100776,No,2022-11-28,
100777,Yes,2022-11-24,2.64
100778,Yes,2024-08-24,1.5
100779,Yes,2022-11-18,2.92
100780,No,2024-04-15,
100781,Yes,2023-03-08,3.51
100782,Yes,2022-12-14,2.24
100783,No,2024-03-15,
100784,No,2023-12-04,
100785,0,2022-02-04,
100786,Yes,2024-01-03,3.67
100787,No,2022-03-28,
100788,No,2024-02-19,
100789,No,2024-02-23,
100790,N,2024-02-24,
100791,No,2024-05-04,
100792,Yes,2024-09-01,2.68
100793,No,2021-12-30,
100794,Yes,2023-11-28,2.46
100795,Yes,2021-10-03,2.1
100796,0,2023-05-11,
100797,Yes,2023-11-29,1.85
100798,no,2023-05-20,
100799,Yes,2022-05-08,2.58
100800,No,2024-03-16,
100801,No,2024-06-30,
100802,No,2024-03-31,
100803,Yes,2022-06-12,2.41
100804,No,2023-03-12,
100805,No,2023-09-26,
100806,Yes,2023-05-23,2.06
100807,No,2023-11-22,
100808,No,2024-06-14,
100809,No,2024-07-04,
100810,0,2024-04-18,-1.0
100811,Yes,2023-11-08,2.3
100812,Yes,2022-03-22,2.72
100813,Yes,2024-01-19,2.15
100814,No,2024-06-07,
100815,No,2024-08-28,
100816,Yes,2023-08-09,2.29
100817,Yes,2022-01-01,2.04
100818,No,2024-04-18,
100819,No,2021-12-31,
100820,Yes,2023-06-02,3.51
100821,NO,2022-07-01,
100822,No,2023-04-06,
100823,No,2022-03-09,
100824,Yes,2024-03-22,2.21
100825,Yes,2022-06-15,3.09
100826,No,2021-09-09,
100827,1,2022-02-24,3.51
100828,No,2023-11-25,
100829,No,2024-07-17,
100830,No,2023-02-19,
100831,Yes,2023-04-01,2.14
100832,No,2021-10-03,
100833,Y,2023-06-14,2.43
100834,No,2021-10-29,
100835,No,2022-12-28,
100836,Yes,2023-08-02,2.22
100837,yes,2023-10-04,2.47
100838,No,2023-02-26,7.5
100839,No,2022-10-11,
100840,No,2023-02-08,
100841,No,2022-08-30,
100842,Yes,2022-12-02,2.17
100843,No,2022-08-07,
100844,Yes,2023-09-13,2.0
100845,No,2022-11-22,
100846,Yes,2021-09-30,2.92
100847,Yes,2023-01-05,1.68
100848,Yes,2022-07-05,3.56
100849,Yes,2022-11-29,2.48
100850,No,2023-07-19,
100851,No,2022-01-07,
100852,Yes,2024-01-14,2.82
100853,False,2024-03-06,
100854,No,2024-02-24,
100855,No,2023-10-28,
100856,Y,2022-02-05,3.77
100857,Yes,2024-01-18,2.9
100858,No,2024-03-23,
100859,N,2024-02-06,
100860,No,,
100861,Yes,2022-09-01,2.02
100862,No,2023-07-30,
100863,Yes,2022-10-19,2.57
100864,Yes,2022-01-02,2.11
100865,Yes,2024-08-29,2.5
100866,Yes,2023-04-18,2.44
100867,No,2023-07-15,
100868,No,2023-07-26,
100869,No,2023-03-27,
100870,Yes,2023-09-20,3.42
100871,No,2024-08-28,
100872,No,2024-08-29,
100873,N,2022-10-11,
100874,1,2022-12-27,2.52
100875,No,2024-01-01,
100876,Yes,2023-11-23,3.1
100877,No,2023-05-20,
100878,No,2023-03-13,
100879,No,2023-03-01,
100880,Yes,2024-07-01,2.22
100881,No,2022-08-22,
100882,NO,2024-04-13,
100883,Yes,2022-07-20,3.24
100884,N,2024-04-05,
100885,No,2024-03-08,
100886,Yes,2021-08-15,7.5
100887,No,2022-08-26,
100888,No,2023-07-12,
100889,No,2023-03-08,
100890,No,2023-02-04,
100891,No,2024-04-02,
100892,No,2024-02-23,
100893,No,2023-10-11,
100894,No,2023-05-05,
100895,NO,2022-03-10,
100896,No,2022-08-17,
100897,Yes,2022-02-20,3.39
100898,No,2022-11-22,
100899,No,2023-02-18,
100900,No,,
100901,No,2022-04-09,
100902,yes,2024-05-24,2.69
100903,No,2021-12-31,
100904,N,2024-06-22,
100905,No,2024-02-14,
100906,No,2022-12-21,
100907,No,2022-06-06,
100908,No,2022-10-17,
100909,No,2024-01-18,
100910,Yes,2023-01-04,1.5
100911,Yes,2021-08-06,2.37
100912,No,2022-05-09,
100913,No,2024-01-11,
100914,No,2022-10-17,
100915,Yes,2022-10-24,2.15
100916,No,2023-12-11,
100917,No,2022-12-26,
100918,No,2023-06-29,
100919,No,2024-04-28,
100920,NO,2022-06-28,
100921,Yes,2021-12-23,2.43
100922,No,2023-04-12,
100923,No,2023-05-05,
100924,Yes,2023-10-27,2.55
100925,Yes,2023-04-24,2.9
100926,No,2024-01-14,
100927,Yes,2021-10-01,2.12
100928,No,2021-10-24,
100929,No,2023-11-01,
100930,No,2021-12-10,
100931,Yes,2023-03-31,3.52
100932,Yes,2022-01-05,2.88
100933,Yes,2023-09-06,2.58
100934,Yes,2024-01-27,1.87
100935,Yes,2021-09-15,1.8
100936,Yes,2022-02-27,2.07
100937,1,2023-06-27,2.99
100938,No,2021-12-16,
100939,No,2023-04-27,
