student_id,scholarship_awarded,award_date
100362,No,2023-05-04
100363,No,2023-02-21
100364,No,2021-03-17
100365,Yes,2022-06-16
100366,No,2023-03-11
100367,False,2023-05-18
100368,No,2021-05-12
100369,1,2022-01-26
100370,No,2021-07-10
100371,No,2021-03-26
100372,No,2021-06-14
100373,Yes,2022-07-10
100374,No,2021-09-12
100375,No,2023-08-16
100376,no,2022-10-31
100377,No,2021-11-07
100378,No,2023-01-22
100379,No,
100380,No,2023-07-27
100381,No,2023-06-10
100382,Yes,2022-03-21
100383,No,2021-07-27
100384,No,2021-10-21
100385,Yes,2022-03-11
100386,No,2022-04-27
100387,No,2022-06-11
100388,No,2022-03-18
100389,Yes,2022-01-30
100390,no,2021-05-21
100391,No,2021-01-18
100392,No,2021-11-05
100393,No,2023-07-09
100394,No,2023-02-28
100395,N,2021-12-14
100396,No,2022-09-05
100397,No,2022-03-18
100398,True,2021-06-28
100399,No,2022-07-27
100400,Y,2023-07-08
100401,No,2021-02-08
100402,NO,2021-04-24
100403,No,2022-07-01
100404,No,2021-03-07
100405,No,2022-09-06
100406,No,2021-08-30
100407,No,2023-03-18
100408,Yes,2021-02-24
100409,No,
100410,No,2021-02-07
100411,No,2022-05-15
100412,No,2023-03-16
100413,No,2022-07-11
100414,No,2021-03-31
100415,No,2023-04-25
100416,No,2023-05-23
100417,No,2023-04-08
100418,No,2022-01-10
100419,Yes,2022-10-22
100420,Y,2022-08-30
100421,No,2021-08-31
100422,No,2021-06-03
100423,Yes,2022-02-24
100424,No,2021-06-21
100425,Yes,2023-03-07
100426,No,2023-04-02
100427,No,2022-10-27
100428,No,2022-03-05
100429,No,2023-02-19
100430,Yes,2022-03-13
100431,Yes,2023-07-16
100432,No,2022-06-01
100433,Yes,2021-01-02
100434,Yes,2022-11-18
100435,No,2023-01-26
100436,Yes,2022-01-01
100437,Yes,2022-08-31
100438,No,2021-08-13
100439,No,2022-03-15
100440,No,2023-01-12
100441,Yes,
100442,Yes,2022-05-07
100443,Yes,2022-08-20
100444,Yes,2021-03-05
100445,Yes,2021-08-14
100446,Yes,2022-05-29
100447,No,2021-06-20
100448,Yes,2023-08-03
100449,No,2022-09-28
100450,No,2023-05-22
100451,Yes,2021-03-25
100452,No,2022-03-11
100453,No,2021-08-13
100454,no,2023-06-06
100455,Yes,2023-01-02
100456,Yes,2022-01-15
100457,No,2021-11-23
100458,No,2022-08-21
100459,No,2023-05-15
100460,No,2022-02-02
100461,no,2022-12-23
100462,Yes,2021-07-18
100463,No,2021-07-27
100464,No,2022-08-31
100465,Yes,2022-06-22
100466,No,2022-07-04
100467,YES,2021-01-28
100468,No,2023-02-20
100469,No,2022-10-31
100470,No,2022-08-14
100471,No,2022-01-17
100472,No,2021-04-26
100473,No,2022-04-11
100474,no,2023-07-25
100475,No,2023-01-29
100476,No,2022-08-22
100477,Yes,2023-05-17
100478,Yes,2023-08-11
100479,1,2023-08-12
100480,No,2022-01-30
100481,Yes,2021-03-17
100482,No,2021-12-02
100483,YES,2022-07-30
100484,Yes,
100485,Yes,2022-04-30
100486,No,2021-09-26
100487,No,2022-10-18
100488,No,2021-02-13
100489,No,2022-12-18
100490,No,2022-01-01
100491,No,2022-04-07
100492,no,2022-08-12
100493,N,2021-06-11
100494,No,2022-08-10
100495,No,2021-05-05
100496,N,2021-10-09
100497,No,2023-08-04
100498,No,2022-10-02
100499,No,2023-03-22
100500,Yes,2022-04-10
100501,Yes,2021-02-25
100502,Yes,2022-12-14
100503,No,2021-06-05
100504,No,2021-01-24
100505,Yes,2021-09-18
100506,No,2021-12-04
100507,No,2023-03-09
100508,No,2022-11-30
100509,No,2021-04-01
100510,Yes,2021-06-13
100511,Y,2023-08-23
100512,No,2022-12-24
100513,No,2021-08-14
100514,No,2021-08-15
100515,No,2022-11-18
100516,No,2022-11-09
100517,No,2021-10-22
100518,No,2023-06-24
100519,Yes,2023-02-16
100520,No,2022-01-08
100521,No,2021-03-29
100522,No,2021-03-04
100523,No,2021-12-15
100524,True,2021-05-16
100525,No,2021-08-12
100526,Yes,2022-06-12
100527,No,2022-04-11
100528,No,2021-01-06
100529,Yes,2022-06-11
100530,Yes,2023-01-13
100531,0,2021-12-28
100532,Yes,2022-10-13
100533,No,2021-02-18
100534,No,2021-07-21
100535,No,2022-08-19
100536,NO,2021-05-14
100537,No,2021-07-25
100538,No,2021-06-15
100539,No,2022-08-09
100540,No,2023-08-02
100541,No,2021-06-19
100542,No,2022-05-17
100543,No,2022-02-14
100544,No,2021-06-02
100545,No,2021-08-11
100546,Yes,2022-05-15
100547,Yes,2021-05-19
100548,N,2021-03-17
100549,Yes,2021-07-12
100550,No,2022-07-24
100551,Yes,2022-10-07
100552,No,2022-06-14
100553,No,2023-05-18
100554,N,2021-08-26
100555,No,2021-04-26
100556,No,2022-06-23
100557,N,2022-06-24
100558,No,2023-06-01
100559,No,
100560,No,2021-11-29
100561,No,2022-08-27
100562,No,2023-05-23
100563,Y,2021-04-18
100564,No,2021-02-23
100565,No,2021-10-05
100566,Y,2023-02-03
100567,No,2022-02-01
100568,No,2021-06-16
100569,No,2022-10-08
100570,no,2021-06-18
100571,No,2022-05-18
100572,Yes,2022-05-11
100573,No,2023-01-16
100574,No,2021-06-12
100575,No,2021-10-17
100576,No,2021-01-04
100577,0,2021-11-13
100578,No,2022-02-28
100579,No,2023-02-18
100580,No,2022-07-17
100581,No,2021-10-21
100582,No,2023-05-29
100583,No,2021-09-03
100584,False,2023-03-11
100585,Yes,2021-04-23
100586,No,2021-04-26
100587,No,2023-06-01
100588,Yes,2021-04-15
100589,Yes,2022-08-19
100590,No,2022-04-16
100591,No,2021-06-15
100592,Yes,2021-03-10
100593,No,2021-04-11
100594,No,2022-09-08
100595,No,2023-01-27
100596,Y,2022-07-26
100597,Yes,2022-06-03
100598,No,2023-04-26
100599,No,2022-07-16
100600,No,2021-08-16
100601,No,2022-02-16
100602,Yes,2022-08-07
100603,No,2022-11-17
100604,No,2021-12-28
100605,No,2023-02-27
100606,No,2021-08-11
100607,No,2023-03-01
100608,Yes,2023-05-18
100609,0,
100610,No,2022-08-06
100611,Yes,2022-01-25
100612,Yes,2022-07-03
100613,No,2023-08-25
100614,Yes,2022-05-31
100615,No,2022-06-26
100616,NO,2023-08-08
100617,No,2022-04-27
100618,No,2021-03-11
100619,Yes,2023-07-01
100620,No,2021-05-04
100621,Yes,2022-03-23
100622,No,2022-06-30
100623,No,2021-11-02
100624,No,2022-10-31
100625,No,2023-01-27
100626,No,2023-05-31
100627,yes,2021-06-15
100628,No,2021-01-25
100629,No,2023-05-29
100630,No,2021-07-09
100631,Yes,2023-06-29
100632,False,2023-03-03
100633,No,2021-03-05
100634,No,2022-08-21
100635,No,2022-05-01
100636,No,2022-04-29
100637,No,2023-07-31
100638,No,2021-01-22
100639,No,2023-04-12
100640,False,2023-01-05
100641,No,2021-07-01
100642,No,2021-05-13
100643,N,2023-07-06
100644,no,2022-11-01
100645,Yes,2021-08-10
100646,True,2023-06-09
100647,No,2022-01-22
100648,No,2021-12-01
100649,Yes,2021-12-14
100650,No,2021-01-16
100651,0,2022-02-06
100652,True,2022-12-31
100653,No,2021-04-09
100654,No,2022-11-29
100655,No,2021-01-19
100656,Yes,2023-07-07
100657,Y,2021-08-01
100658,No,2022-06-09
100659,Yes,2021-08-06
100660,No,2021-11-29
100661,True,2022-07-01
100662,No,2022-12-17
100663,No,2023-03-29
100664,Yes,2022-10-15
100665,No,2022-09-12
100666,No,2021-11-12
100667,Yes,2023-03-14
100668,No,2022-06-30
100669,No,2022-01-24
100670,False,2021-11-20
100671,No,2022-02-11
100672,No,2023-01-30
100673,No,2022-07-01
100674,No,2022-06-25
100675,False,2021-01-18
100676,Yes,2021-07-29
100677,No,2023-03-17
100678,No,2022-10-13
100679,No,2021-11-16
100680,No,2021-01-31
100681,No,2021-10-17
100682,1,2021-12-10
100683,Yes,2023-08-29
100684,Yes,2022-02-12
100685,No,2023-06-01
100686,Yes,2021-02-22
100687,False,2023-03-18
100688,Yes,2022-03-11
100689,No,2021-02-08
100690,Yes,2023-02-28
100691,No,2021-10-28
100692,No,2022-09-18
100693,No,2023-01-20
100694,No,2021-01-22
100695,Yes,2023-07-12
100696,No,2022-08-28
100697,No,2022-01-07
100698,No,2022-11-11
100699,No,2021-07-27
100700,No,2022-10-14
100701,No,2022-01-31
100702,No,2022-12-25
100703,No,2023-03-16
100704,No,2022-02-07
100705,No,2023-07-19
100706,No,2021-12-23
100707,No,2022-08-03
100708,YES,2022-10-15
100709,Yes,2022-01-28
100710,No,2022-06-25
100711,No,2021-08-27
100712,No,2022-10-04
100713,Yes,2022-04-09
100714,No,2023-04-11
100715,Yes,2022-11-17
100716,False,2022-01-01
100717,Yes,2023-06-27
100718,Yes,2022-08-28
100719,No,2023-03-21
100720,No,2022-02-05
100721,Yes,2021-06-15
100722,No,2021-04-21
100723,YES,2021-02-17
100724,Yes,2021-01-31
100725,No,2022-06-30
100726,No,2023-08-13
100727,No,2021-04-21
100728,No,2022-07-18
100729,Yes,2022-07-28
100730,No,
100731,Yes,2022-10-14
100732,No,2022-11-05
100733,False,2023-06-27
100734,No,2021-07-12
100735,No,2023-02-28
100736,No,2022-12-19
100737,No,2023-08-20
100738,Yes,
100739,Yes,2021-08-10
100740,no,2021-11-08
100741,NO,2023-05-24
100742,Y,2022-02-23
100743,No,2022-03-16
100744,No,2022-04-15
100745,Yes,2022-03-28
100746,Yes,2021-01-29
100747,0,2021-02-12
100748,0,2021-07-07
100749,No,2022-03-03
100750,No,2022-02-15
100751,Yes,2021-11-05
100752,Yes,2022-11-27
100753,Yes,2022-06-21
100754,No,2021-09-06
100755,YES,2021-08-01
100756,No,2022-03-01
100757,No,2023-03-06
100758,No,2022-10-24
100759,Y,2023-02-24
100760,No,2021-05-21
100761,No,2022-08-23
100762,1,2022-07-28
100763,No,2022-06-19
100764,No,2022-07-18
100765,False,2023-02-02
100766,Yes,2023-07-21
100767,Yes,2023-03-24
100768,Yes,2021-10-17
100769,Yes,2022-04-28
100770,No,2023-03-28
100771,Yes,2023-02-18
100772,Yes,2022-10-19
100773,No,2022-07-26
100774,Yes,2023-03-06
100775,No,2023-07-08
100776,No,2022-06-15
100777,YES,2023-01-04
100778,No,2023-06-29
100779,False,2022-10-12
100780,No,2022-06-11
100781,No,2023-07-12
100782,No,2021-05-23
100783,No,2021-10-10
100784,Yes,2022-04-18
100785,N,2021-11-22
100786,Yes,2022-09-29
100787,No,2022-01-04
100788,1,2022-01-02
100789,NO,2021-10-20
100790,No,2021-03-30
100791,Yes,2023-07-27
100792,Yes,2021-11-01
100793,0,2023-08-16
100794,No,2022-04-03
100795,Yes,2022-07-11
100796,No,2022-05-22
100797,Yes,2022-10-03
100798,No,2022-08-31
100799,No,2022-01-05
100800,No,2022-11-27
100801,No,2023-08-24
100802,No,2021-08-27
100803,No,2023-02-21
100804,No,2022-08-09
100805,No,2022-07-12
100806,No,2022-02-04
100807,no,2022-10-19
100808,Yes,2023-01-25
100809,No,2023-04-20
100810,Yes,2022-02-14
100811,False,2022-12-30
100812,Yes,2023-08-18
100813,No,2023-08-03
100814,No,2021-07-27
100815,No,2022-03-22
100816,No,2021-05-23
100817,No,2021-06-30
100818,No,2021-05-29
100819,No,2023-06-29
100820,Yes,2022-11-28
100821,No,2023-05-05
100822,Yes,2023-04-02
100823,No,
100824,No,2023-03-06
100825,Yes,2021-02-02
100826,No,2022-12-24
100827,Y,2021-07-19
100828,No,2022-03-11
100829,No,2023-03-03
100830,No,2022-02-11
100831,No,2022-09-21
100832,No,2022-06-03
100833,No,2022-01-10
100834,No,2021-11-15
100835,No,2023-04-03
100836,Yes,2021-06-07
100837,No,2023-01-07
100838,No,2022-11-07
100839,No,2021-06-24
100840,No,2022-11-08
100841,Yes,2021-04-25
100842,No,2021-12-21
100843,No,2022-01-04
100844,No,2021-10-08
100845,No,2021-05-11
100846,No,2022-12-30
100847,No,2021-02-14
100848,True,2022-08-23
100849,NO,2021-06-14
100850,No,
100851,No,2022-02-23
100852,Yes,2023-05-25
100853,No,2022-07-09
100854,No,2022-06-11
100855,No,2021-08-05
100856,Yes,2022-05-24
100857,No,2022-05-16
100858,No,2022-08-17
100859,No,2023-02-24
100860,False,2021-06-08
100861,No,2022-08-21
100862,No,2022-12-27
100863,Yes,2021-12-04
100864,No,2023-03-24
100865,No,2022-10-06
100866,Yes,2023-06-08
100867,No,2023-03-16
100868,No,2022-10-08
100869,Yes,2023-07-29
100870,Yes,2023-05-04
100871,No,2021-09-22
100872,No,2021-12-27
100873,False,2022-11-14
100874,No,2022-06-18
100875,N,2022-09-07
100876,Yes,2021-09-10
100877,No,2022-01-29
100878,No,2023-01-22
100879,No,2023-02-17
100880,No,2023-06-16
100881,No,2022-09-29
100882,No,2021-02-12
100883,No,2021-11-07
100884,No,2022-10-21
100885,No,2023-08-15
100886,Yes,2023-03-09
100887,Yes,2021-05-23
100888,No,2022-10-25
100889,No,2022-12-04
100890,No,2022-09-12
100891,Yes,2023-04-29
100892,No,2021-10-04
100893,No,2022-10-27
100894,No,2023-02-20
100895,No,2023-03-19
100896,No,2021-09-08
100897,Yes,2023-07-12
100898,No,2022-11-10
100899,No,2021-05-11
100900,Yes,2023-08-12
100901,0,2021-07-19
100902,Yes,2021-10-28
100903,Yes,2022-05-06
100904,Yes,2021-08-21
100905,No,2022-11-03
100906,Yes,2021-06-02
100907,Yes,2021-08-24
100908,No,2022-12-22
100909,Yes,2021-06-07
100910,Yes,2021-10-07
100911,Yes,2023-02-16
100912,No,2021-12-18
100913,Yes,2023-07-23
100914,Yes,2023-03-11
100915,Yes,2022-01-21
100916,Yes,2021-08-19
100917,N,2023-02-09
100918,No,2021-08-24
100919,No,2021-02-01
100920,No,2023-08-18
100921,No,2021-11-20
100922,No,2022-06-25
100923,No,2021-12-22
100924,No,2021-09-24
100925,Yes,2022-03-14
100926,Yes,2023-08-07
100927,no,2022-09-14
100928,No,2023-07-10
100929,True,2022-08-11
100930,No,2022-11-06
100931,Yes,2021-08-18
100932,Yes,2021-04-14
100933,No,2023-03-16
100934,No,2023-01-10
100935,No,2021-02-19
100936,No,2021-02-27
100937,yes,2022-03-02
100938,Yes,2022-07-26
100939,No,2023-05-26
100940,No,2022-07-07
100941,No,2023-05-31
100942,No,2021-05-17
100943,No,2022-08-14
100944,No,2021-09-16
100945,False,2022-12-25
100946,No,2022-06-21
100947,Yes,2021-08-08
100948,Yes,2023-07-28
100949,Yes,2023-06-18
100950,No,2023-07-03
100951,Yes,2022-10-06
100952,No,2023-03-22
100953,No,2022-01-23
100954,Yes,2023-04-27
100955,Yes,2021-11-30
100956,No,2022-09-22
100957,No,2022-06-30
100958,No,
100959,No,2023-07-24
100960,No,2022-06-08
100961,No,2021-04-13
100962,Yes,2023-03-06
100963,0,2022-07-13
100964,No,2021-08-08
100965,No,2023-05-26
100966,N,2021-10-02
100967,No,2021-12-23
100968,No,2021-07-19
100969,Y,2022-02-04
100970,No,2021-10-16
100971,N,2021-11-07
100972,No,2022-02-25
100973,No,2021-03-15
100974,Yes,2022-08-27
100975,Yes,2021-11-30
100976,Yes,2021-02-19
100977,Yes,2021-08-23
100978,Yes,2022-02-24
100979,Yes,2023-04-12
100980,No,2021-08-08
100981,No,2022-06-15
100982,NO,2023-04-20
100983,No,2023-06-17
100984,1,2023-02-21
100985,No,2023-05-31
100986,No,2021-01-24
100987,Yes,2021-01-14
100988,Yes,2022-09-10
100989,No,2021-08-26
100990,No,2023-07-31
100991,No,2021-05-20
100992,1,2021-12-21
100993,Yes,2023-02-04
100994,no,2021-10-02
100995,no,2021-08-19
100996,No,2023-01-29
100997,No,2021-07-02
100998,No,2023-08-29
100999,Yes,2022-05-20
101000,yes,2023-01-06
101001,No,2022-08-27
101002,Yes,2021-03-10
101003,YES,2023-08-13
101004,No,2021-11-21
101005,No,2023-03-01
101006,No,2023-05-20
101007,No,2021-09-23
101008,N,2021-12-13
101009,No,2022-09-24
101010,0,2023-03-14
101011,No,2022-11-09
101012,Yes,2021-12-02
101013,No,2022-08-13
101014,No,2023-04-20
101015,Yes,2021-08-02
101016,yes,2021-04-29
101017,No,2022-09-20
101018,No,2021-03-06
101019,yes,2021-09-12
101020,Yes,2021-10-21
101021,Yes,2021-04-22
101022,Yes,2023-01-15
101023,No,2021-01-10
101024,Yes,2023-07-02
101025,Yes,2022-11-16
101026,No,
101027,No,2021-09-12
101028,False,2022-05-28
101029,No,2023-05-11
101030,Yes,2021-10-22
101031,No,2022-05-11
101032,Yes,2023-03-08
101033,0,2022-12-18
101034,No,2022-03-25
101035,Yes,2023-06-21
101036,No,2021-01-03
101037,False,
101038,No,2023-03-20
101039,No,2021-11-11
101040,N,2023-05-19
101041,No,2021-11-29
101042,No,
101043,No,2021-08-25
101044,No,2023-06-12
101045,No,2022-10-21
101046,N,2023-02-25
101047,yes,2023-03-03
101048,Yes,2022-08-24
101049,Yes,2023-03-31
101050,No,2023-01-02
101051,Yes,
101052,N,2023-05-17
101053,False,2023-08-03
101054,No,2023-04-16
101055,No,2021-10-07
101056,NO,2022-04-21
101057,Yes,2023-01-16
101058,False,2022-12-29
101059,No,2022-08-30
101060,Yes,2021-04-19
101061,No,2021-03-29
101062,No,2021-04-12
101063,Yes,2021-06-18
101064,No,2023-01-21
101065,No,2022-01-24
101066,No,2023-03-14
101067,Yes,2023-01-14
101068,No,2023-07-30
101069,No,2023-01-08
101070,Yes,2022-02-15
101071,No,2022-05-05
101072,Yes,2022-07-31
101073,0,2021-08-26
101074,No,
101075,Yes,2023-04-22
101076,No,2023-02-08
101077,Yes,2023-02-28
101078,No,2021-09-06
101079,NO,2022-03-26
101080,No,2021-02-22
101081,Yes,2022-01-16
101082,No,2022-04-25
101083,No,2021-07-08
101084,No,2021-03-10
101085,No,2022-10-09
101086,No,2023-03-24
101087,No,2021-07-28
101088,N,2023-03-24
101089,No,2022-02-06
101090,No,2022-12-11
101091,No,2022-10-15
101092,False,2022-02-28
101093,Yes,2021-01-26
101094,No,2021-12-14
101095,No,2023-01-24
101096,Yes,2023-02-05
101097,no,2021-06-11
101098,No,2023-01-21
101099,Yes,2023-05-18
101100,No,2023-05-27
101101,No,2021-07-19
101102,Yes,2023-08-15
101103,Y,2021-12-25
101104,No,
101105,No,2021-07-08
101106,Yes,2023-02-15
101107,No,2022-01-03
101108,No,2022-02-07
101109,Yes,2022-11-17
101110,No,2022-04-28
101111,No,2022-07-13
101112,No,2021-09-13
101113,Yes,2021-11-18
101114,No,2023-07-11
101115,No,2022-10-19
101116,N,2022-07-20
101117,No,2021-04-19
101118,Yes,2023-07-26
101119,NO,2021-12-29
101120,Yes,2022-02-28
101121,No,2021-06-30
101122,No,2022-09-17
101123,No,2021-10-20
101124,No,2022-07-20
101125,No,2022-07-18
101126,No,2023-06-05
101127,N,2022-07-30
