student_id,test_date,test_score
100266,2023-01-29,88.5
100267,2022-01-26,70.2
100268,2020-12-27,93.2
100269,2022-05-13,68.3
100270,2020-10-18,96.3
100271,2020-10-21,70.9
100272,2021-05-04,52.6
100273,2022-11-27,80.2
100274,2023-02-01,56.8
100275,2021-01-14,72.0
100276,2020-09-17,89.1
100277,2023-01-23,82.6
100278,2022-12-28,85.0
100279,2021-04-30,89.3
100280,2020-12-09,77.4
100281,2023-03-18,78.4
100282,2022-04-28,76.1
100283,2023-05-06,74.1
100284,2022-05-08,86.1
100285,2022-09-14,100.0
100286,2021-08-07,
100287,2023-01-06,79.1
100288,2022-12-07,60.8
100289,2020-10-24,83.7
100290,2021-10-03,89.2
100291,2021-06-18,93.4
100292,2023-02-24,83.6
100293,2023-03-22,57.3
100294,2022-07-16,85.7
100295,2022-05-23,62.6
100296,2021-04-22,100.0
100297,2020-10-04,80.1
100298,2022-11-16,69.5
100299,2021-12-03,72.3
100300,2021-10-20,60.3
100301,2022-06-26,74.3
100302,2021-08-22,79.5
100303,2021-12-10,84.0
100304,2021-06-28,96.7
100305,2021-04-24,85.0
100306,2022-09-28,75.6
100307,2022-05-20,76.0
100308,2020-11-10,69.2
100309,2023-05-29,
100310,2021-06-11,64.7
100311,2023-05-06,67.8
100312,2020-09-02,93.7
100313,2022-02-08,80.5
100314,2020-12-24,69.7
100315,2022-11-05,70.2
100316,2022-01-20,67.4
100317,2022-08-26,84.2
100318,2022-11-06,62.1
100319,2022-03-01,65.7
100320,2021-04-24,69.7
100321,2021-05-04,82.7
100322,2021-04-24,80.5
100323,2021-04-02,79.1
100324,2023-03-27,76.9
100325,2021-11-18,67.9
100326,2021-11-17,80.6
100327,2023-03-09,70.4
100328,2020-12-20,78.5
100329,2021-07-31,81.5
100330,2023-04-12,76.4
100331,2023-05-30,90.0
100332,2022-07-06,88.7
100333,2022-08-19,70.6
100334,2023-03-14,70.8
100335,2021-10-02,91.4
100336,2022-07-21,69.4
100337,2021-09-24,72.4
100338,2023-01-07,71.1
100339,2021-11-04,78.1
100340,2020-11-29,76.3
100341,2021-11-06,90.2
100342,2020-10-07,77.1
100343,2023-01-20,71.0
100344,2023-02-26,82.8
100345,2022-09-16,81.1
100346,2021-08-28,88.5
100347,2023-05-25,74.5
100348,2023-01-13,72.7
100349,2022-07-24,78.4
100350,2023-05-27,72.6
100351,2020-10-16,
100352,2022-03-12,64.6
100353,2021-11-07,100.0
100354,2021-02-27,73.4
100355,2022-05-07,83.5
100356,2022-08-13,70.2
100357,2021-06-15,68.5
100358,2021-07-26,95.2
100359,2022-10-29,70.1
100360,2021-03-14,80.3
100361,2022-10-31,-5.0
100362,2021-11-14,69.0
100363,2021-07-14,73.7
100364,2022-03-27,60.5
100365,2021-11-23,88.8
100366,2022-03-17,74.2
100367,2021-06-24,80.3
100368,2022-02-11,79.5
100369,2022-06-29,92.2
100370,2022-04-17,78.7
100371,2020-12-15,75.9
100372,2022-03-04,81.0
100373,2022-12-14,93.9
100374,2022-06-20,77.2
100375,2020-10-07,84.3
100376,2021-10-20,74.1
100377,2022-04-23,53.7
100378,2021-10-18,76.5
100379,2021-08-04,77.5
100380,2022-11-21,75.4
100381,2021-02-21,140.0
100382,2022-01-29,100.0
100383,2023-01-23,75.3
100384,2020-10-11,90.1
100385,2021-07-04,89.4
100386,2021-10-16,77.2
100387,2021-02-24,84.8
100388,2022-12-13,81.9
100389,2023-03-17,85.1
100390,2023-05-17,84.9
100391,2022-02-11,79.7
100392,2022-06-27,83.8
100393,2020-09-06,74.1
100394,2023-02-11,82.9
100395,2023-03-08,84.5
100396,2021-01-11,77.2
100397,2022-02-28,77.7
100398,2023-04-25,90.1
100399,2021-06-18,58.6
100400,2022-10-10,100.0
100401,2022-11-27,73.5
100402,2022-01-28,73.4
100403,2021-09-13,81.6
100404,2022-06-23,96.9
100405,2022-03-15,78.2
100406,2022-05-05,63.8
100407,2021-04-09,76.4
100408,2021-03-14,92.6
100409,2022-12-14,73.6
100410,2023-03-20,70.4
100411,2022-01-27,82.4
100412,2020-12-23,71.2
100413,2023-03-15,69.7
100414,2022-09-29,78.2
100415,2022-06-14,72.0
100416,2020-09-19,81.9
100417,2021-05-11,65.5
100418,2020-10-15,75.8
100419,2021-10-12,98.0
100420,2022-05-12,86.4
100421,2023-02-07,71.9
100422,2022-12-01,76.1
100423,2021-12-05,64.2
100424,2022-10-06,80.5
100425,2021-05-21,87.9
100426,2020-09-01,81.9
100427,2023-03-31,61.8
100428,2020-12-29,140.0
100429,2021-02-04,76.3
100430,2023-01-08,77.4
100431,2021-05-26,88.8
100432,2021-05-31,66.5
100433,2023-03-26,91.2
100434,2022-10-29,100.0
100435,2022-08-09,79.2
100436,2022-05-09,86.2
100437,2022-06-23,75.0
100438,2020-10-12,69.4
100439,2021-09-06,83.9
100440,2021-01-02,83.2
100441,2022-05-02,94.1
100442,2022-01-14,97.4
100443,2023-05-25,82.4
100444,2021-05-28,87.7
100445,2022-06-15,92.2
100446,2020-11-08,85.7
100447,2023-04-15,64.9
100448,2020-10-29,68.6
100449,2021-04-02,75.4
100450,2022-09-06,65.7
100451,2023-01-01,79.4
100452,2021-12-12,65.6
100453,2022-12-08,79.8
100454,2022-12-06,74.4
100455,2022-06-18,97.9
100456,2021-11-06,76.2
100457,2022-11-05,85.9
100458,2021-08-25,69.0
100459,2021-02-13,65.3
100460,2022-11-07,76.9
100461,2022-01-19,75.5
100462,2021-07-26,72.5
100463,2023-02-05,63.7
100464,2021-09-21,84.3
100465,2023-01-26,85.3
100466,2021-08-03,69.9
100467,2023-02-23,65.1
100468,2022-11-06,67.4
100469,2020-12-22,75.7
100470,2021-07-05,85.5
100471,2020-12-19,82.9
100472,2023-04-10,67.9
100473,2022-10-06,63.5
100474,2021-01-25,69.9
100475,2021-12-18,57.9
100476,2021-01-10,75.0
100477,2021-06-14,85.6
100478,2020-09-09,77.1
100479,2022-05-10,96.7
100480,2022-07-20,62.7
100481,2022-04-28,75.8
100482,2021-10-27,140.0
100483,2021-06-12,100.0
100484,2022-04-24,90.1
100485,2020-09-03,55.4
100486,2020-09-25,76.5
100487,2021-01-23,77.1
100488,2021-01-27,64.1
100489,2022-03-03,81.5
100490,2023-01-08,78.0
100491,2022-03-25,79.2
100492,2021-04-24,70.0
100493,2022-06-20,64.1
100494,2022-12-15,60.1
100495,2021-03-02,80.0
100496,2021-02-13,81.0
100497,2021-11-20,69.1
100498,2022-03-31,82.3
100499,2023-02-17,71.5
100500,2022-09-17,60.4
100501,2023-02-23,87.7
100502,2020-11-26,96.3
100503,2021-06-19,79.6
100504,2021-06-27,75.1
100505,2021-08-31,90.8
100506,2021-11-21,78.2
100507,2023-03-13,56.9
100508,2022-08-01,81.8
100509,2023-04-10,73.0
100510,2021-08-31,85.6
100511,2021-02-20,95.1
100512,2022-02-11,65.0
100513,2020-10-20,80.8
100514,2022-06-08,76.5
100515,2021-03-23,78.5
100516,2021-05-16,68.7
100517,2022-07-22,62.5
100518,2023-05-11,73.4
100519,2022-07-10,85.6
100520,2021-03-31,72.5
100521,2021-11-19,71.0
100522,2021-02-24,81.4
100523,2023-01-27,92.7
100524,2021-02-14,89.9
100525,2023-04-17,77.6
100526,2021-06-09,86.6
100527,2021-01-17,75.5
100528,2022-01-21,81.7
100529,2021-08-14,92.9
100530,2021-12-04,86.5
100531,2022-08-29,70.1
100532,2020-09-06,87.8
100533,2022-07-08,83.0
100534,2022-11-01,75.1
100535,2023-05-04,76.8
100536,2022-05-10,99.8
100537,2021-08-12,76.5
100538,2022-10-14,70.5
100539,2023-02-01,75.0
100540,2022-03-27,71.1
100541,2022-10-02,60.2
100542,2021-12-10,85.0
100543,2022-09-17,78.2
100544,2021-11-12,71.8
100545,2022-09-01,81.6
100546,2022-12-07,89.1
100547,2021-11-04,95.1
100548,2021-04-27,75.6
100549,2021-09-14,73.7
100550,2022-10-28,94.1
100551,2021-03-31,97.1
100552,2021-11-15,84.0
100553,2022-06-21,59.5
100554,2020-12-08,66.4
100555,2022-08-01,72.4
100556,2023-05-02,77.7
100557,2022-04-08,79.0
100558,2022-09-02,81.9
100559,2021-11-26,68.5
100560,2021-12-05,67.9
100561,2022-06-09,72.0
100562,not_a_date,73.5
100563,2022-04-18,89.3
100564,2022-02-10,83.3
100565,2023-05-02,
100566,2022-12-20,91.4
100567,2021-01-08,63.4
100568,2021-08-09,84.6
100569,2020-10-28,77.3
100570,2022-09-07,74.5
100571,2022-01-09,64.5
100572,2021-11-24,99.3
100573,2020-09-11,72.2
100574,2022-11-28,83.7
100575,2022-05-24,74.4
100576,2022-12-18,73.0
100577,2023-03-14,78.0
100578,2022-01-20,56.3
100579,2021-07-28,98.7
100580,2021-10-07,81.4
100581,2021-05-31,74.3
100582,2021-12-07,78.9
100583,2021-12-15,72.6
100584,2021-11-08,65.0
100585,2021-11-13,100.0
100586,2022-10-18,73.4
100587,2021-09-15,80.2
100588,2022-03-03,100.0
100589,2022-01-10,86.8
100590,2020-11-24,77.6
100591,2021-04-14,74.9
100592,2021-06-17,100.0
100593,2023-01-30,84.4
100594,2022-06-09,81.7
100595,2021-01-15,71.6
100596,2021-09-17,85.5
100597,2022-04-06,88.2
100598,2022-05-07,71.6
100599,2021-02-13,69.2
100600,2021-02-17,70.0
100601,2023-05-13,76.7
100602,2023-04-15,91.2
100603,2022-10-29,77.3
100604,2022-09-07,69.8
100605,2021-11-05,76.6
100606,2021-12-12,83.7
100607,2023-04-17,75.3
100608,2021-09-11,79.0
100609,2021-07-26,83.8
100610,2021-07-05,72.0
100611,2023-04-28,73.4
100612,2021-02-26,63.0
100613,2020-10-25,62.7
100614,2021-06-25,91.8
100615,2022-08-02,64.1
100616,2021-03-31,84.4
100617,2022-08-29,71.7
100618,2021-12-10,78.0
100619,2021-09-08,85.4
100620,2023-03-06,62.4
100621,2021-07-06,100.0
100622,2021-03-19,89.5
100623,2021-09-06,74.0
100624,2022-01-31,80.1
100625,2021-12-12,91.1
100626,2022-09-17,76.9
100627,2022-09-11,92.5
100628,2020-11-05,84.9
100629,not_a_date,75.9
100630,2022-10-12,79.2
100631,2023-05-31,91.0
100632,2022-03-26,76.4
100633,2022-10-07,
100634,2023-05-21,66.2
100635,2021-08-08,69.5
100636,2022-04-26,68.4
100637,2020-09-13,79.2
100638,2021-06-18,83.6
100639,2021-11-17,71.9
100640,2022-05-20,82.8
100641,2022-02-14,51.1
100642,2022-02-23,73.0
100643,2020-12-17,84.0
100644,2020-12-21,70.7
100645,2021-10-04,92.2
100646,2021-10-27,89.8
100647,2021-01-14,67.5
100648,2022-10-17,81.2
100649,2020-11-12,85.5
100650,2021-03-17,88.2
100651,2022-04-26,140.0
100652,2021-04-06,87.3
100653,2022-07-15,83.6
100654,2022-10-14,62.5
100655,2022-01-13,90.5
100656,2022-07-07,85.9
100657,2022-10-23,96.2
100658,2021-08-01,70.0
100659,2020-10-20,92.1
100660,2022-03-30,81.8
100661,2020-12-15,69.7
100662,2021-08-07,77.0
100663,2022-01-02,78.8
100664,2022-03-12,78.8
100665,2021-05-24,84.3
100666,2022-11-12,81.4
100667,2021-06-07,58.7
100668,2021-08-23,61.6
100669,2022-02-28,94.8
100670,2021-05-08,63.9
100671,2021-11-03,70.2
100672,2022-10-01,69.7
100673,2020-09-03,71.4
100674,2022-01-26,75.6
100675,2023-02-09,80.1
100676,2021-06-25,73.3
100677,2021-06-10,77.0
100678,2021-02-14,73.1
100679,2021-01-16,76.4
100680,2021-11-28,73.3
100681,2021-05-14,80.1
100682,2020-12-25,87.1
100683,2022-10-17,89.9
100684,2021-07-18,87.1
100685,2021-09-19,71.8
100686,2023-04-24,89.7
100687,2021-05-17,70.4
100688,2022-10-04,88.9
100689,2022-02-24,65.0
100690,2022-10-27,100.0
100691,2021-06-29,77.6
100692,2022-02-27,65.9
100693,2023-01-11,75.8
100694,2022-05-06,80.1
100695,2021-08-13,87.2
100696,2022-07-10,76.6
100697,2023-03-21,84.8
100698,2021-08-22,72.5
100699,2023-01-20,82.0
100700,2023-03-10,-5.0
100701,2020-12-09,79.3
100702,2022-03-31,46.8
100703,2020-12-02,74.0
100704,2020-11-17,
100705,2022-03-13,78.6
100706,2021-03-09,78.6
100707,2020-09-24,92.5
100708,2021-08-09,93.0
100709,2023-01-03,92.5
100710,2021-01-29,74.2
100711,2022-02-01,78.7
100712,2022-08-25,81.4
100713,2021-01-19,100.0
100714,2022-04-18,75.5
100715,2022-10-19,90.4
100716,2021-03-31,57.1
100717,2022-10-20,88.0
100718,2021-11-28,
100719,2021-12-16,
100720,2021-07-12,81.9
100721,2021-10-17,86.3
100722,2023-01-04,80.4
100723,2022-03-23,94.5
100724,2021-10-03,96.8
100725,2021-01-20,67.5
100726,2021-08-18,67.5
100727,2021-01-02,77.5
100728,2023-04-21,81.4
100729,2021-11-02,100.0
100730,2021-01-31,78.0
100731,2021-11-03,76.4
100732,2021-08-18,82.9
100733,2021-06-10,74.1
100734,2021-10-29,53.2
100735,2020-10-06,78.6
100736,2022-08-13,71.2
100737,2020-10-14,66.8
100738,2022-01-23,87.4
100739,2023-03-07,83.4
100740,2021-11-15,68.2
100741,2021-11-25,82.1
100742,2023-05-08,89.5
100743,2021-11-28,83.1
100744,2023-05-23,77.4
100745,2022-04-05,88.3
100746,2022-05-20,96.5
100747,2023-05-09,66.7
100748,2022-01-19,84.1
100749,2021-03-30,66.2
100750,2022-10-07,78.5
100751,2021-03-31,91.5
100752,2021-11-17,100.0
100753,2022-06-02,92.2
100754,2023-01-09,82.5
100755,2021-07-25,91.8
100756,2020-11-28,78.8
100757,2021-06-15,75.3
100758,2021-10-28,78.4
100759,2022-04-14,93.5
100760,2022-05-12,81.4
100761,2023-05-25,71.2
100762,2021-12-15,96.4
100763,2022-07-17,80.9
100764,2022-06-30,60.0
100765,2022-09-04,77.4
100766,2021-11-25,71.5
100767,2020-11-10,77.3
100768,2023-02-06,94.7
100769,2020-09-22,75.1
100770,2020-09-04,78.0
100771,2021-02-06,78.9
100772,2022-07-11,88.4
100773,2020-11-10,81.0
100774,2022-09-14,90.6
100775,2022-09-04,73.2
100776,2020-10-14,78.5
100777,2021-12-06,87.5
100778,2020-09-24,64.2
100779,2021-05-28,78.7
100780,2021-06-09,76.7
100781,2023-01-03,83.4
100782,2020-10-11,82.8
100783,2021-04-19,62.7
100784,2021-12-16,
100785,2022-09-26,79.8
100786,2021-01-11,91.7
100787,2021-04-07,65.1
100788,2022-07-28,85.1
100789,2022-04-11,84.0
100790,2022-07-07,64.5
100791,2021-07-15,80.9
100792,2022-05-15,82.9
100793,2022-09-28,72.2
100794,2022-08-26,77.9
100795,2023-04-12,88.4
100796,2023-04-10,68.4
100797,2021-07-14,61.0
100798,2022-03-06,100.0
100799,2020-12-31,79.7
100800,2021-01-24,48.5
100801,2022-09-16,66.4
100802,2022-03-22,72.2
100803,2023-05-30,60.6
100804,2022-08-05,79.7
100805,2022-07-19,62.0
100806,2021-04-18,83.6
100807,2022-10-07,92.7
100808,2022-02-02,86.1
100809,2021-12-29,73.4
100810,2022-01-27,100.0
100811,2022-08-03,81.5
100812,2021-01-17,89.4
100813,2021-08-08,95.6
100814,2021-12-21,76.6
100815,2020-09-17,58.9
100816,2023-01-24,60.7
100817,not_a_date,78.6
100818,2020-11-07,65.1
100819,2022-09-10,84.9
100820,2022-03-14,99.1
100821,2020-12-06,80.5
100822,2021-10-26,99.0
100823,2022-10-26,79.6
100824,2021-04-18,72.6
100825,2022-07-28,98.7
100826,2023-03-20,78.7
100827,2022-05-24,90.9
100828,2022-06-24,69.6
100829,2022-05-20,79.9
100830,2022-06-14,75.6
100831,2021-02-08,80.9
100832,2021-09-14,77.4
100833,2022-07-27,79.5
100834,2021-09-24,140.0
100835,2023-04-16,75.5
100836,2021-01-12,67.5
100837,2021-11-12,75.9
100838,2022-01-23,83.6
100839,2022-06-10,78.7
100840,2021-12-01,82.9
100841,2022-05-19,87.8
100842,2023-05-06,71.9
100843,2021-12-23,80.8
100844,2022-04-25,60.7
100845,2022-09-24,81.3
100846,2023-02-25,90.3
100847,2022-01-16,73.8
100848,2021-10-03,86.3
100849,2021-10-27,76.2
100850,2022-10-04,66.4
100851,2021-09-15,80.2
100852,2020-12-26,88.2
100853,2022-06-15,67.6
100854,2022-05-16,76.9
100855,2022-10-25,78.2
100856,not_a_date,95.4
100857,2022-04-17,97.4
100858,2021-03-12,78.4
100859,2022-12-26,
100860,2022-10-22,76.3
100861,2022-04-19,63.8
100862,2021-07-25,78.3
100863,2023-04-04,87.1
100864,2021-08-24,88.7
100865,2021-11-25,67.5
100866,2021-10-25,97.8
100867,2021-10-05,63.8
100868,2022-08-03,76.2
100869,2020-11-05,95.6
100870,2022-02-23,100.0
100871,2020-09-06,82.3
100872,not_a_date,92.6
100873,2022-03-27,61.3
100874,2022-07-10,87.9
100875,2020-11-16,73.1
100876,not_a_date,89.3
100877,2021-03-22,81.7
100878,2022-08-28,80.9
100879,2021-06-15,63.8
100880,2023-04-16,73.5
100881,not_a_date,82.2
100882,2023-03-02,83.0
100883,2023-04-01,91.4
100884,2022-12-14,68.3
100885,2021-09-17,65.9
100886,2022-07-27,87.8
100887,2021-03-25,66.8
100888,2020-12-17,62.8
100889,2023-05-04,75.9
100890,2021-03-11,61.7
100891,2021-03-24,95.9
100892,2023-04-05,79.3
100893,2021-05-10,73.1
100894,2023-01-25,76.6
100895,2021-10-29,63.5
100896,2022-12-08,79.9
100897,2021-11-24,86.6
100898,2023-02-15,74.5
100899,2022-09-26,90.1
100900,2020-10-05,91.5
100901,2021-04-24,65.2
100902,2021-03-01,88.9
100903,2023-05-13,77.3
100904,2022-09-01,86.5
100905,2021-02-03,83.1
100906,2022-07-29,85.8
100907,2020-12-08,74.5
100908,2022-02-23,84.0
100909,2022-03-01,75.8
100910,2021-01-17,68.2
100911,2022-02-06,88.7
100912,2022-07-12,79.4
100913,2021-01-10,94.8
100914,2021-09-07,81.8
100915,2021-09-06,91.8
100916,2021-10-31,96.1
100917,2022-03-16,75.9
100918,2022-07-11,62.3
100919,2020-12-17,69.9
100920,2023-04-10,79.6
100921,2021-07-31,69.3
100922,2022-11-15,73.9
100923,2021-04-16,90.3
100924,2021-08-02,82.0
100925,2022-09-29,86.8
100926,2022-10-12,78.0
100927,2021-05-25,73.5
100928,2021-08-14,70.1
100929,2021-02-05,73.3
100930,2022-03-22,73.9
100931,2020-09-23,88.3
100932,2023-01-06,87.2
100933,2022-09-07,92.4
100934,2020-09-09,81.4
100935,2022-09-18,70.1
100936,2020-12-22,75.7
100937,2021-11-14,86.3
100938,2021-10-12,87.9
100939,2023-02-28,81.9
100940,2020-10-30,67.7
100941,2021-08-12,74.9
100942,2023-03-19,79.7
100943,2021-03-07,74.8
100944,2020-11-03,80.7
100945,2022-10-15,63.6
100946,2022-09-13,66.2
100947,2023-03-18,91.0
100948,2023-05-24,86.0
100949,2022-08-27,85.3
100950,2023-04-04,82.6
100951,2022-08-01,86.1
100952,2021-01-01,82.6
100953,2022-08-16,69.6
100954,2021-01-31,80.3
100955,2021-12-14,86.2
100956,2021-06-18,78.4
100957,2021-11-23,75.6
100958,2021-01-21,84.5
100959,2022-12-28,79.5
100960,2022-03-19,68.8
100961,2022-05-16,76.3
100962,2022-10-25,90.3
100963,2020-10-23,81.7
100964,2021-06-07,77.4
100965,2021-05-29,72.2
100966,2021-04-23,52.3
100967,2022-11-18,68.6
100968,2023-03-03,83.4
100969,2023-05-01,100.0
100970,2022-07-07,75.6
100971,2021-09-09,74.4
100972,2021-11-16,100.0
100973,2021-01-29,62.3
100974,2022-08-12,93.7
100975,2022-05-28,85.6
100976,2022-08-08,89.2
100977,2021-11-18,100.0
100978,2022-10-15,91.5
100979,2022-11-05,85.1
100980,2021-01-17,70.1
100981,2021-06-09,69.6
100982,2022-12-02,82.9
100983,2021-04-23,72.8
100984,2022-11-12,60.8
100985,2021-04-03,81.8
100986,2021-05-02,56.7
100987,2022-04-30,71.0
100988,2023-02-10,86.9
100989,2021-01-06,
100990,2021-03-08,71.7
100991,2021-07-14,78.8
100992,2022-08-20,92.3
100993,2023-01-15,100.0
100994,2022-03-26,73.5
100995,2021-10-07,83.8
100996,2021-01-19,82.0
100997,2022-12-24,75.3
100998,2021-12-31,61.7
100999,2021-03-03,94.6
101000,2021-12-05,78.2
101001,2023-04-20,84.7
